"station_id","stationname","LINES","POINT_X","POINT_Y","TL","avg_rides","BS","LUI","RD","BD","LS","GBS","TS","ES","LUM"
1450,"Chicago/State","Red Line",1176230.95814277,1905725.84936769,1,8.7813067545309,24,188,18.98395009,6.180463403,0.787234043,0.058510638,0.10106383,0.037234043,0.481287613
1460,"Irving Park-Brown","Brown Line",1163333.20913876,1926705.98506723,1,7.26528162508105,12,45,16.28368922,0.518385147,0.733333333,0.177777778,0.022222222,0,0.576816621
1480,"Western-Brown","Brown Line",1159616.1951193,1930951.29758318,1,7.5882243921882,15,78,15.75614097,0.493601082,0.833333333,0.051282051,0.076923077,0.025641026,0.404712781
1490,"Harrison","Red Line",1176488.61907101,1897480.33051201,1,7.61065280922776,20,98,16.97300443,4.860835839,0.642857143,0.040816327,0.183673469,0.102040816,0.662011883
1500,"Montrose-Brown","Brown Line",1163255.95192269,1929339.66570968,1,7.11556938339448,14,41,13.56990696,0.567811504,0.87804878,0.024390244,0,0.097560976,0.393058959
1510,"Morgan-Lake","Green (Lake), Pink",1169742.11896873,1901630.35829187,2,7.86534450359794,2,131,21.49583626,0.66245184,0.916030534,0.038167939,0.045801527,0,0.315137979
1660,"Lake/State","Red Line",1176365.32127889,1901404.02433966,1,9.06434575264224,2,32,23.60170185,4.792370353,0.75,0,0.1875,0,0.639824384
1670,"Conservatory","Green Line (Lake)",1152209.0952084,1901252.71835552,1,6.29551197364603,0,42,10.52804334,0.051692318,0.69047619,0.023809524,0.214285714,0.071428571,0.622757981
1690,"Cermak-McCormick Place","Green Line",1176844.65337534,1889858.01703291,1,6.95546175626836,18,32,13.89595575,1.408731539,0.75,0.09375,0.125,0.03125,0.581343945
1700,"Washington/Wabash","Brown, Orange, Pink,  Purple (Express), Green",1176812.47724731,1900828.68763513,5,8.69854695979258,10,122,16.54790896,5.087461461,0.696721311,0.049180328,0.237704918,0.008196721,0.509612164
