"station_id","stationname","LINES","POINT_X","POINT_Y","TL","avg_rides","LUI","BS","BD","RD","LS","GBS","TS","ES","LUM"
920,"Pulaski-Forest Park","Blue Line (Congress)",1149758.98320612,1897220.94772777,1,6.72669880398759,29,41,0.295152499,17.64969913,0.724137931,0.034482759,0.068965517,0.172413793,0.604019698
930,"Midway Airport","Orange Line",1146620.91702719,1865394.75454613,1,8.47192751481953,8,19,0.202591793,13.4835719,0.625,0,0.25,0.125,0.819448372
940,"Halsted/63rd","Green Line",1172260.63647507,1862821.97015973,1,5.54396654006201,40,29,0.255415381,15.54560618,0.625,0.15,0.05,0.05,0.706969606
960,"Pulaski-Orange","Orange Line",1150270.22237459,1870257.60178265,1,7.9827282563524,51,30,0.277358693,12.10789521,0.764705882,0.117647059,0.039215686,0.078431373,0.565227754
970,"Cicero-Forest Park","Blue Line (Congress)",1144440.97667316,1896352.78926296,1,6.45540818497384,21,48,0.197508101,13.72678962,0.80952381,0,0.095238095,0.095238095,0.563384144
990,"69th","Red Line",1177260.46342373,1858977.89284415,1,7.57510590449807,35,60,0.230549441,17.96772544,0.742857143,0,0.057142857,0.2,0.642863131
1000,"Cermak-Chinatown","Red Line",1175600.57759818,1889880.86554493,1,7.79486676010538,140,30,0.238408411,19.09992722,0.671428571,0.114285714,0.164285714,0.035714286,0.616226493
1010,"Rockwell","Brown Line",1158091.02161388,1930925.25598316,1,6.75421552361363,33,11,0.383637715,14.08181787,0.878787879,0.03030303,0,0.03030303,0.357326622
1020,"Logan Square","Blue Line",1154263.50109831,1917602.19677075,1,8.1510698298605,194,42,0.453261642,16.24571416,0.845360825,0.051546392,0.046391753,0.010309278,0.389532809
1030,"Polk","Pink",1165039.42430835,1896486.58894308,1,7.54735068274952,108,39,1.352616192,12.30571953,0.509259259,0.046296296,0.074074074,0.305555556,0.756981584
1040,"Kedzie-Cermak","Pink",1155312.29879529,1890060.7219291,1,6.49955702747332,41,35,0.370852262,15.1906376,0.634146341,0.097560976,0.097560976,0.170731707,0.753618476
1060,"Ashland-Orange","Orange Line",1166283.2435735,1884759.33773216,1,6.95444052160801,33,21,0.112739992,14.93712785,0.878787879,0.090909091,0.03030303,0,0.398225072
1070,"Kedzie-Lake","Green Line (Lake)",1155033.73418703,1901060.63233934,1,6.49916765382899,31,33,0.198836091,13.66026153,0.580645161,0.161290323,0.032258065,0.193548387,0.714117584
1080,"47th-South Elevated","Green Line",1179041.79692939,1873875.82873002,1,6.23957231448846,27,19,0.329301243,14.82705888,0.703703704,0.111111111,0.148148148,0.037037037,0.646600969
1090,"Monroe/State","Red Line",1176409.33715094,1899923.25429028,1,8.12864882262032,38,3,7.711256739,16.40848911,0.842105263,0.078947368,0.052631579,0.026315789,0.4298205
